"","region","RegionId","Time","Unit","Value","variable","Category"
"353","India","IN","1951","Hectares",67613,"Planted Area of Coffee","Arabica"
"354","India","IN","1961","Hectares",70650,"Planted Area of Coffee","Arabica"
"355","India","IN","1971","Hectares",80433,"Planted Area of Coffee","Arabica"
"356","India","IN","1981","Hectares",109454,"Planted Area of Coffee","Arabica"
"362","India","IN","1991","Hectares",127934,"Planted Area of Coffee","Arabica"
"363","India","IN","1992","Hectares",126889,"Planted Area of Coffee","Arabica"
"364","India","IN","1993","Hectares",141546,"Planted Area of Coffee","Arabica"
"365","India","IN","1994","Hectares",143491,"Planted Area of Coffee","Arabica"
"366","India","IN","1995","Hectares",142644,"Planted Area of Coffee","Arabica"
"367","India","IN","1996","Hectares",145901,"Planted Area of Coffee","Arabica"
"368","India","IN","1997","Hectares",143239,"Planted Area of Coffee","Arabica"
"369","India","IN","1998","Hectares",143928,"Planted Area of Coffee","Arabica"
"370","India","IN","1999","Hectares",160671,"Planted Area of Coffee","Arabica"
"371","India","IN","2000","Hectares",168453,"Planted Area of Coffee","Arabica"
"372","India","IN","2001","Hectares",167679,"Planted Area of Coffee","Arabica"
"373","India","IN","2002","Hectares",165892,"Planted Area of Coffee","Arabica"
"374","India","IN","2003","Hectares",171180,"Planted Area of Coffee","Arabica"
"375","India","IN","2004","Hectares",170294,"Planted Area of Coffee","Arabica"
"376","India","IN","2005","Hectares",174315,"Planted Area of Coffee","Arabica"
"377","India","IN","2006","Hectares",177728,"Planted Area of Coffee","Arabica"
"378","India","IN","2007","Hectares",179096,"Planted Area of Coffee","Arabica"
"379","India","IN","2008","Hectares",184418,"Planted Area of Coffee","Arabica"
"380","India","IN","2009","Hectares",189511,"Planted Area of Coffee","Arabica"
"381","India","IN","2010","Hectares",193995,"Planted Area of Coffee","Arabica"
"382","India","IN","2011","Hectares",197930,"Planted Area of Coffee","Arabica"
"383","India","IN","2012","Hectares",201070,"Planted Area of Coffee","Arabica"
"411","India","IN","2008","Hectares",71831,"Planted Area of coffee under different size categories (<2 Hectares)","Arabica"
"443","India","IN","2008","Hectares",25809,"Planted Area of coffee under different size categories (2-4 Hectares)","Arabica"
"475","India","IN","2008","Hectares",31587,"Planted Area of coffee under different size categories (4-10 hectares)","Arabica"
"507","India","IN","2008","Hectares",16460,"Planted Area of coffee under different size categories (10-20 hectares)","Arabica"
"539","India","IN","2008","Hectares",8752,"Planted Area of coffee under different size categories (20-40 hectares)","Arabica"
"571","India","IN","2008","Hectares",7021,"Planted Area of coffee under different size categories (40-60 hectares)","Arabica"
"603","India","IN","2008","Hectares",5478,"Planted Area of coffee under different size categories (60-80 Hectares)","Arabica"
"635","India","IN","2008","Hectares",3972,"Planted Area of coffee under different size categories (80-100 Hectares)","Arabica"
"667","India","IN","2008","Hectares",13508,"Planted Area of coffee under different size categories (>100 hectares)","Arabica"
"699","India","IN","2008","Hectares",184418,"Planted Area of coffee under different size categories (Total in Hectares)","Arabica"
"1089","India","IN","1951","Million tonnes",15511,"Production of Coffee","Arabica"
"1090","India","IN","1961","Million tonnes",39526,"Production of Coffee","Arabica"
"1091","India","IN","1971","Million tonnes",58348,"Production of Coffee","Arabica"
"1092","India","IN","1981","Million tonnes",61262,"Production of Coffee","Arabica"
"1093","India","IN","1986","Million tonnes",72311,"Production of Coffee","Arabica"
"1094","India","IN","1987","Million tonnes",88975,"Production of Coffee","Arabica"
"1095","India","IN","1988","Million tonnes",64556,"Production of Coffee","Arabica"
"1096","India","IN","1989","Million tonnes",94781,"Production of Coffee","Arabica"
"1097","India","IN","1990","Million tonnes",62572,"Production of Coffee","Arabica"
"1098","India","IN","1991","Million tonnes",78311,"Production of Coffee","Arabica"
"1099","India","IN","1992","Million tonnes",88320,"Production of Coffee","Arabica"
"1100","India","IN","1993","Million tonnes",73120,"Production of Coffee","Arabica"
"1101","India","IN","1994","Million tonnes",98300,"Production of Coffee","Arabica"
"1102","India","IN","1995","Million tonnes",79000,"Production of Coffee","Arabica"
"1103","India","IN","1996","Million tonnes",103250,"Production of Coffee","Arabica"
"1104","India","IN","1997","Million tonnes",90450,"Production of Coffee","Arabica"
"1105","India","IN","1998","Million tonnes",99300,"Production of Coffee","Arabica"
"1106","India","IN","1999","Million tonnes",97000,"Production of Coffee","Arabica"
"1107","India","IN","2000","Million tonnes",119000,"Production of Coffee","Arabica"
"1108","India","IN","2001","Million tonnes",104400,"Production of Coffee","Arabica"
"1109","India","IN","2002","Million tonnes",121050,"Production of Coffee","Arabica"
"1110","India","IN","2003","Million tonnes",102125,"Production of Coffee","Arabica"
"1111","India","IN","2004","Million tonnes",101950,"Production of Coffee","Arabica"
"1112","India","IN","2005","Million tonnes",103400,"Production of Coffee","Arabica"
"1113","India","IN","2006","Million tonnes",94000,"Production of Coffee","Arabica"
"1114","India","IN","2007","Million tonnes",99700,"Production of Coffee","Arabica"
"1115","India","IN","2008","Million tonnes",92500,"Production of Coffee","Arabica"
"1116","India","IN","2009","Million tonnes",79500,"Production of Coffee","Arabica"
"1117","India","IN","2010","Million tonnes",94600,"Production of Coffee","Arabica"
"1118","India","IN","2011","Million tonnes",94140,"Production of Coffee","Arabica"
"1119","India","IN","2012","Million tonnes",101500,"Production of Coffee","Arabica"
"1120","India","IN","2013","Million tonnes",104000,"Production of Coffee","Arabica"
"1185","India","IN","1951","Hectares",67613,"Bearing Area (ha.)","Arabica"
"1186","India","IN","1961","Hectares",70649,"Bearing Area (ha.)","Arabica"
"1187","India","IN","1971","Hectares",80433,"Bearing Area (ha.)","Arabica"
"1188","India","IN","1981","Hectares",98005,"Bearing Area (ha.)","Arabica"
"1189","India","IN","1986","Hectares",108476,"Bearing Area (ha.)","Arabica"
"1190","India","IN","1987","Hectares",108500,"Bearing Area (ha.)","Arabica"
"1191","India","IN","1988","Hectares",108500,"Bearing Area (ha.)","Arabica"
"1192","India","IN","1989","Hectares",108500,"Bearing Area (ha.)","Arabica"
"1193","India","IN","1990","Hectares",108500,"Bearing Area (ha.)","Arabica"
"1194","India","IN","1991","Hectares",108500,"Bearing Area (ha.)","Arabica"
"1195","India","IN","1992","Hectares",108500,"Bearing Area (ha.)","Arabica"
"1196","India","IN","1993","Hectares",108500,"Bearing Area (ha.)","Arabica"
"1197","India","IN","1994","Hectares",108500,"Bearing Area (ha.)","Arabica"
"1198","India","IN","1995","Hectares",108500,"Bearing Area (ha.)","Arabica"
"1199","India","IN","1996","Hectares",120100,"Bearing Area (ha.)","Arabica"
"1200","India","IN","1997","Hectares",125017,"Bearing Area (ha.)","Arabica"
"1201","India","IN","1998","Hectares",130664,"Bearing Area (ha.)","Arabica"
"1202","India","IN","1999","Hectares",143007,"Bearing Area (ha.)","Arabica"
"1203","India","IN","2000","Hectares",146052,"Bearing Area (ha.)","Arabica"
"1204","India","IN","2001","Hectares",146502,"Bearing Area (ha.)","Arabica"
"1205","India","IN","2002","Hectares",149056,"Bearing Area (ha.)","Arabica"
"1206","India","IN","2003","Hectares",146780,"Bearing Area (ha.)","Arabica"
"1207","India","IN","2004","Hectares",148389,"Bearing Area (ha.)","Arabica"
"1208","India","IN","2005","Hectares",153280,"Bearing Area (ha.)","Arabica"
"1209","India","IN","2006","Hectares",151547,"Bearing Area (ha.)","Arabica"
"1210","India","IN","2007","Hectares",151861,"Bearing Area (ha.)","Arabica"
"1211","India","IN","2008","Hectares",151013,"Bearing Area (ha.)","Arabica"
"1212","India","IN","2009","Hectares",156421,"Bearing Area (ha.)","Arabica"
"1213","India","IN","2010","Hectares",159828,"Bearing Area (ha.)","Arabica"
"1214","India","IN","2011","Hectares",163737,"Bearing Area (ha.)","Arabica"
"1215","India","IN","2012","Hectares",169906,"Bearing Area (ha.)","Arabica"
"1281","India","IN","1951","KG/HA",229,"Productivity (kg/ha)","Arabica"
